Country,SpatialDim,TimeDim,NumericValue,Low,High,Value
France,FRA,1996,5.78409,4.42223,7.34363,5.8 [4.4-7.3]
France,FRA,2002,7.79059,6.26913,9.48708,7.8 [6.3-9.5]
France,FRA,2018,5.04604,4.23674,5.92332,5.0 [4.2-5.9]
France,FRA,2022,5.99091,4.062,8.2711,6.0 [4.1-8.3]
France,FRA,2012,7.2208,6.13635,8.4026,7.2 [6.1-8.4]
France,FRA,2007,6.47469,5.38717,7.73805,6.5 [5.4-7.7]
France,FRA,1999,7.56459,5.96593,9.34336,7.6 [6.0-9.3]
France,FRA,2012,5.40654,4.21755,6.86028,5.4 [4.2-6.9]
France,FRA,2011,4.73809,3.66414,6.04314,4.7 [3.7-6.0]
France,FRA,2010,9.51317,7.61724,11.71254,9.5 [7.6-11.7]
France,FRA,2000,6.3335,4.49414,8.55324,6.3 [4.5-8.6]
France,FRA,1993,5.9249,3.77985,8.69312,5.9 [3.8-8.7]
France,FRA,2018,6.65757,5.33232,8.10049,6.7 [5.3-8.1]
France,FRA,1998,5.13291,3.51646,7.08956,5.1 [3.5-7.1]
France,FRA,1997,5.07189,3.43003,7.08042,5.1 [3.4-7.1]
France,FRA,2013,9.10628,7.44217,10.92274,9.1 [7.4-10.9]
France,FRA,2018,3.57865,2.65179,4.68745,3.6 [2.7-4.7]
France,FRA,1998,7.02769,5.03467,9.38351,7.0 [5.0-9.4]
France,FRA,1999,5.18239,3.61558,7.07387,5.2 [3.6-7.1]
France,FRA,1992,5.7401,3.34136,8.85582,5.7 [3.3-8.9]
France,FRA,2005,7.7913,5.96031,9.91213,7.8 [6.0-9.9]
France,FRA,2000,5.2241,3.6863,7.07369,5.2 [3.7-7.1]
France,FRA,1992,5.67345,3.49349,8.57686,5.7 [3.5-8.6]
France,FRA,1991,5.61535,3.1208,9.01227,5.6 [3.1-9.0]
France,FRA,2006,9.64638,7.48842,12.18055,9.6 [7.5-12.2]
France,FRA,1994,7.8476,5.23921,11.07639,7.8 [5.2-11.1]
France,FRA,2011,5.62022,4.34465,7.15956,5.6 [4.3-7.2]
France,FRA,2011,7.6819,6.18861,9.42003,7.7 [6.2-9.4]
France,FRA,1994,5.45713,4.02853,7.13466,5.5 [4.0-7.1]
France,FRA,2006,7.82444,6.05632,9.92014,7.8 [6.1-9.9]
France,FRA,2015,4.05231,3.16478,5.13189,4.1 [3.2-5.1]
France,FRA,2003,6.38356,4.65222,8.45718,6.4 [4.7-8.5]
France,FRA,2007,7.84363,6.12434,9.8953,7.8 [6.1-9.9]
France,FRA,1992,6.46121,4.57884,8.73862,6.5 [4.6-8.7]
France,FRA,2017,5.21135,4.43353,6.06925,5.2 [4.4-6.1]
France,FRA,2008,9.64523,7.59179,12.04551,9.6 [7.6-12.0]
France,FRA,1991,6.97951,4.16998,10.85672,7.0 [4.2-10.9]
France,FRA,2019,4.04581,2.90043,5.44987,4.0 [2.9-5.4]
France,FRA,2013,5.19157,4.05544,6.55793,5.2 [4.1-6.6]
France,FRA,1992,7.27265,4.51405,10.92932,7.3 [4.5-10.9]
France,FRA,2009,5.03286,3.83008,6.4833,5.0 [3.8-6.5]
France,FRA,1996,6.64952,4.62612,9.05349,6.6 [4.6-9.1]
France,FRA,1998,8.80528,6.34609,11.74869,8.8 [6.3-11.7]
France,FRA,1997,8.59977,6.10902,11.53228,8.6 [6.1-11.5]
France,FRA,1999,8.98553,6.56044,11.89644,9.0 [6.6-11.9]
France,FRA,2004,6.37714,4.6855,8.40471,6.4 [4.7-8.4]
France,FRA,2022,3.60841,2.16857,5.51334,3.6 [2.2-5.5]
France,FRA,2003,6.43966,5.21633,7.82285,6.4 [5.2-7.8]
France,FRA,1993,6.6588,4.83966,8.83887,6.7 [4.8-8.8]
France,FRA,1993,5.85441,3.55171,8.78449,5.9 [3.6-8.8]
France,FRA,2009,6.35756,5.32517,7.50033,6.4 [5.3-7.5]
France,FRA,2021,7.50653,5.40898,9.95381,7.5 [5.4-10.0]
France,FRA,2010,7.7568,6.2017,9.56873,7.8 [6.2-9.6]
France,FRA,2002,7.5722,5.62779,9.85139,7.6 [5.6-9.9]
France,FRA,2021,3.74104,2.42881,5.42765,3.7 [2.4-5.4]
France,FRA,1991,4.92275,3.35721,6.84391,4.9 [3.4-6.8]
France,FRA,2002,6.38599,5.12279,7.80479,6.4 [5.1-7.8]
France,FRA,2004,9.54165,7.24152,12.19265,9.5 [7.2-12.2]
France,FRA,2002,5.3052,3.81273,7.05804,5.3 [3.8-7.1]
France,FRA,1991,4.45958,2.45954,7.2047,4.5 [2.5-7.2]
France,FRA,1994,6.84762,5.07967,8.91435,6.8 [5.1-8.9]
France,FRA,2021,5.51316,4.27895,6.95619,5.5 [4.3-7.0]
